frame,2021-07-14_enterprise-keeps-going-c170,2020-09-15-Reefer-stuck-c157,2021-06-23_semi-fairing-c168,2021-10-14_roof-peeled-c172,2021-10-21_semi-c173,2021-07-12_bump-c169,2020-02-21_Penske-scrapes-roof-in-snow-c154,2022-06-14_Penske-left-turn-c176,2021-04-09_lowes-roof-scrape-c166,2019-12-19_Lost-cargo-evening-light-c152,2021-04-07_Penske-stuck-train-c164,2021-03-31_Crane-stuck-c161,2019-10-03_Digger-hits-bridge-c148,2021-04-09_reefer-splatter-crash-c165,2021-07-29_roof-peeled-stuck-c171,2020-09-22_RV-fast-night-crash-c158,2020-03-20_truck-scrapes-roof-c155,2019-09-19_Truck-turns-right-c149,2021-03-31-RV-slow-AC-removal-c162,2020-05-14-truck-scrapes-roof-c156,2020-01-03_Penske-scrapes-roof-c153,2020-11-13_stuck-fairing_c160,2022-04-26_slow_camper-c175
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9996437709406532,0.9996406699667963,0.9857190496218892,0.9997285461341208,0.9996044979440216,0.9929206789091236,0.9904042437258768,0.99736116137947,0.9997636575007172,0.9997482588591678,0.997551268838448,0.9997515632742424,0.9997400439647226,0.9994573021470224,0.9996823445118792,0.9985007280103548,0.99922791772079,0.998138728157575,0.999837198385716,0.9997952688441608,0.999206461181711,0.9998345902896816,0.9997188203107816
2,0.9995087437338684,0.99948989687032,0.9901392967724522,0.999517545608106,0.9996337312502552,0.9908806885427972,0.9964800064964432,0.9944837056249805,0.9994745342858384,0.999788446486374,0.9972319629958484,0.9996785055245756,0.999463383178092,0.9994874150173012,0.9997946949823716,0.9982777411543604,0.9997890154535414,0.997211111065986,0.999713828977382,0.9997831998495664,0.9957410125835552,0.999689136202608,0.9996868785355324
3,0.9995421254241896,0.999577226861968,0.9918219207099868,0.9995367726031854,0.9998086443995816,0.9884211051079832,0.9987251670000684,0.9935459895752308,0.9998011927674564,0.999755735608097,0.9990427008929365,0.9994950805460804,0.9995712046768742,0.9996797195159832,0.9998095698048668,0.9976071477585936,0.9996721894945348,0.9941765322930372,0.9998665740207656,0.9997509868103256,0.9979046272727664,0.9998361364901918,0.9993777447843069
4,0.9994626976047676,0.9996325887792916,0.99424215945481,0.9996321543755616,0.9996836867321685,0.992350033134361,0.999580234029605,0.9925509271725584,0.9995713424731312,0.9993884744082148,0.9984851534122876,0.9996131851782528,0.9996436735333832,0.9996428950632544,0.999733782875504,0.9983221188270044,0.9996804216810348,0.992002964444178,0.999810586658276,0.9990970641886447,0.996437397611468,0.999791310623934,0.9996159978092422
5,0.9996646548263702,0.9996500807579278,0.9942803907102704,0.9994315747110522,0.9997366080433692,0.9881986331348686,0.9997700219456364,0.995046905732572,0.9998524850901988,0.9992663231544916,0.9983123420245312,0.9997486739933212,0.99953172000121,0.9996176772998197,0.9997166848968488,0.9984533362627128,0.9998066643589476,0.9949262170329066,0.9997077286082844,0.9998016780600284,0.9973554406355084,0.99958179845537,0.9996544196631872
6,0.9994729692981024,0.999878311876402,0.9947636270237512,0.999640723253558,0.9991888741608168,0.9903086183616252,0.999703892485809,0.9958914944313116,0.9997198085379218,0.9998098179833248,0.9987237078726804,0.9998101499874242,0.9994925263911631,0.9997919926128082,0.999767252107914,0.9970043506581576,0.999642692938948,0.9961303274294538,0.9997343156235772,0.9997718861353242,0.9989852272705296,0.9998245097489652,0.9995856112920236
7,0.99933964125824,0.9998419537538268,0.9940350116974958,0.9997584541534688,0.9977569657548744,0.995763293865592,0.9995515688161984,0.996013951858862,0.9996605326643228,0.9997583761696168,0.9988306897853554,0.9998961124062272,0.9996007953219967,0.9995662079237144,0.9997832763184932,0.9986162555407644,0.9998041615426748,0.997095521329208,0.9998656256842932,0.9995144546060464,0.9966515382938432,0.999664335076066,0.999830699754464
8,0.9994871879047618,0.999700519705426,0.9938267389733784,0.9995371656926988,0.9977874211647286,0.9937545019004344,0.9996945997837616,0.9951509954808964,0.999816769896502,0.99986471530367,0.999192211873162,0.9998915930467898,0.9993441184638896,0.9996087267799868,0.999668132611382,0.9952136369498148,0.9998351010367368,0.9978800997629372,0.999507013193488,0.9994997443138312,0.9978849447980592,0.9997394442937524,0.9996293459913465
9,0.999507164708364,0.9998217264960152,0.9899936368099936,0.9995663988951556,0.9933686167007056,0.9931765570128976,0.9997301060934156,0.9947491987236582,0.999852598819426,0.9997341377159088,0.9985267748226048,0.9996926128643217,0.9995879525227924,0.9996861600491166,0.9997981606297875,0.9964366348970644,0.9999341259864262,0.9974523096462082,0.9997540968495788,0.999600563664568,0.9973895752581522,0.9996710757583834,0.9997855108727234
